site,date,time,reported_entero_MPN_100_per_mL,notes,entero_MPN_100_per_mL,rainfall_0,rainfall_1,rainfall_2,rainfall_3,rainfall_4,rainfall_5,rainfall_6,rainfall_sum_24,rainfall_sum_48,rainfall_sum_72,rainfall_pres_24,rainfall_pres_48,rainfall_pres_72
"JFK Marina (Yonkers), Hudson River",6/22/2017,7:34 AM,52,,52,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Yonkers Paddling and Rowing Club, Hudson River",6/22/2017,8:00 AM,96,,96,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Yonkers, Saw Mill River (daylighted section)",6/22/2017,12:32 PM,41,,41,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Van Cortlandt Park Lake, Bronx",6/22/2017,8:45 AM,98,,98,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Muscota Marsh, Harlem River",6/22/2017,,108,,108,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"North Cove, Harlem River",6/22/2017,,279,,279,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Peter J. Sharp Boathouse, Harlem River",6/22/2017,9:56 AM,86,,86,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Bronx Kill West, Randalls Island",6/22/2017,9:06 AM,2064,,2064,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Bronx Kill East, Randalls Island",6/22/2017,8:41,1127,,1127,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Little Hell Gate, Randalls Island",6/22/2017,9:48 AM,1723,,1723,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"Inwood Canoe Club, Hudson River",6/22/2017,8:05 AM,63,,63,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
"West 172nd Street, Hudson River",6/22/2017,8:52 AM,110,,110,0,0,0.03,1.35,Trace,1.39,0,0,0.03,1.38,N,Y,Y
